time,U,C
47.313,0.7955924979587439,0.6762536232649323
47.314,0.7955929386869112,0.6762539978838745
47.315,0.7955933793710079,0.6762543724653567
47.316,0.7955938200110384,0.6762547470093826
47.317,0.7955942606070072,0.6762551215159561
47.318,0.7955947011589185,0.6762554959850807
47.319,0.7955951416667769,0.6762558704167604
47.32,0.7955955821305867,0.6762562448109987
47.321,0.7955960225503522,0.6762566191677993
47.322,0.795596462926078,0.6762569934871663
47.323,0.7955969032577684,0.6762573677691032
47.324,0.795597343545428,0.6762577420136138
47.325,0.7955977837890609,0.6762581162207018
47.326,0.7955982239886716,0.6762584903903709
47.327,0.7955986641442646,0.6762588645226248
47.328,0.7955991042558442,0.6762592386174676
47.329,0.7955995443234148,0.6762596126749026
47.33,0.795599984346981,0.6762599866949338
47.331,0.795600424326547,0.6762603606775649
47.332,0.7956008642621172,0.6762607346227996
47.333,0.795601304153696,0.6762611085306416
47.334,0.7956017440012879,0.6762614824010947
47.335,0.7956021838048972,0.6762618562341626
47.336,0.7956026235645284,0.6762622300298491
47.337,0.7956030632801858,0.676262603788158
47.338,0.7956035029518738,0.6762629775090927
47.339,0.7956039425795969,0.6762633511926573
47.34,0.7956043821633594,0.6762637248388554
47.341,0.7956048217031656,0.6762640984476908
47.342,0.7956052611990202,0.6762644720191672
47.343,0.7956057006509273,0.6762648455532881
47.344,0.7956061400588914,0.6762652190500577
47.345,0.795606579422917,0.6762655925094795
47.346000000000004,0.7956070187430083,0.6762659659315571
47.347,0.7956074580191699,0.6762663393162944
47.348,0.795607897251406,0.6762667126636951
47.349000000000004,0.7956083364397211,0.6762670859737628
47.35,0.7956087755841195,0.6762674592465016
47.351,0.7956092146846057,0.6762678324819148
47.352000000000004,0.795609653741184,0.6762682056800063
47.353,0.7956100927538589,0.67626857884078
47.354,0.7956105317226347,0.6762689519642395
47.355000000000004,0.7956109706475158,0.6762693250503885
47.356,0.7956114095285067,0.6762696980992307
47.357,0.7956118483656116,0.6762700711107699
47.358000000000004,0.795612287158835,0.6762704440850098
47.359,0.7956127259081813,0.6762708170219541
47.36,0.7956131646136548,0.6762711899216066
47.361000000000004,0.79561360327526,0.6762715627839709
47.362,0.7956140418930012,0.676271935609051
47.363,0.7956144804668829,0.6762723083968504
47.364000000000004,0.7956149189969094,0.6762726811473729
47.365,0.795615357483085,0.6762730538606222
47.366,0.7956157959254142,0.676273426536602
47.367000000000004,0.7956162343239014,0.6762737991753162
47.368,0.7956166726785509,0.6762741717767682
47.369,0.795617110989367,0.676274544340962
47.37,0.7956175492563544,0.6762749168679012
47.371,0.7956179874795173,0.6762752893575896
47.372,0.79561842565886,0.676275661810031
47.373,0.795618863794387,0.6762760342252289
47.374,0.7956193018861026,0.6762764066031872
47.375,0.7956197399340112,0.6762767789439096
47.376,0.7956201779381172,0.6762771512473996
47.377,0.795620615898425,0.6762775235136612
47.378,0.795621053814939,0.6762778957426981
47.379,0.7956214916876635,0.676278267934514
47.38,0.7956219295166029,0.6762786400891124
47.381,0.7956223673017617,0.6762790122064974
47.382,0.7956228050431441,0.6762793842866724
47.383,0.7956232427407545,0.6762797563296413
47.384,0.7956236803945974,0.6762801283354077
47.385,0.795624118004677,0.6762805003039755
47.386,0.7956245555709979,0.6762808722353482
47.387,0.7956249930935643,0.6762812441295296
47.388,0.7956254305723807,0.6762816159865236
47.389,0.7956258680074513,0.6762819878063335
47.39,0.7956263053987807,0.6762823595889635
47.391,0.795626742746373,0.6762827313344171
47.392,0.7956271800502328,0.6762831030426979
47.393,0.7956276173103644,0.6762834747138097
47.394,0.7956280545267722,0.6762838463477564
47.395,0.7956284916994605,0.6762842179445414
47.396,0.7956289288284337,0.6762845895041687
